,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,polarity
883,1309790136046149633,1309789090179624961,2020-09-26 09:41:17 UTC,2020-09-26,09:41:17,0,66324459,__lewica,Lewica,,.@GabrielaMorStan: Przyszłość leży po lewej stronie!,pl,"[{'screen_name': 'gabrielamorstan', 'name': 'gabriela morawska-stanecka', 'id': '4656750273'}]",[],[],3,4,17,[],[],https://twitter.com/__Lewica/status/1309790136046149633,False,0,0,,,,,,,,[],,,,,-1.0
884,1309790032593596417,1309789090179624961,2020-09-26 09:40:53 UTC,2020-09-26,09:40:53,0,66324459,__lewica,Lewica,,".@GabrielaMorStan: Nie chcemy nacjonalizmu. Nie chcemy szowinizmu. Nie chcemy odwiecznej walki PO-PiS. Chcemy szacunku dla praw człowieka i praw pracowniczych. 

Lewica i jej afirmacja wolności, postępu, nowoczesności i poszanowania praw człowieka to naturalny wybór.",pl,"[{'screen_name': 'gabrielamorstan', 'name': 'gabriela morawska-stanecka', 'id': '4656750273'}]",[],[],2,3,15,[],[],https://twitter.com/__Lewica/status/1309790032593596417,False,0,0,,,,,,,,[],,,,,1.0
885,1309789455608434688,1309789090179624961,2020-09-26 09:38:35 UTC,2020-09-26,09:38:35,0,66324459,__lewica,Lewica,,.@GabrielaMorStan: Czym się wyróżniamy? Relacja państwo-kościół. Prawa kobiet. Obrona polskiej rodziny przed przemocą. Przed wykluczeniem i biedą.,pl,"[{'screen_name': 'gabrielamorstan', 'name': 'gabriela morawska-stanecka', 'id': '4656750273'}]",[],[],2,4,11,[],[],https://twitter.com/__Lewica/status/1309789455608434688,False,0,0,,,,,,,,[],,,,,0.0
886,1309789090179624961,1309789090179624961,2020-09-26 09:37:08 UTC,2020-09-26,09:37:08,0,66324459,__lewica,Lewica,,"Warmińsko-mazurski #KongresLewicy:

.@GabrielaMorStan: Czy Lewicy brakuje programu? Nie. W wielu obszarach mamy swoje pomysły i projekty. Od początku kadencji złożyliśmy ponad 40 projektów ustaw.",pl,"[{'screen_name': 'gabrielamorstan', 'name': 'gabriela morawska-stanecka', 'id': '4656750273'}]",[],[],2,6,24,['kongreslewicy'],[],https://twitter.com/__Lewica/status/1309789090179624961,False,0,0,,,,,,,,[],,,,,0.0
887,1309788798260305921,1309787667140403200,2020-09-26 09:35:58 UTC,2020-09-26,09:35:58,0,66324459,__lewica,Lewica,,".@wlodekczarzasty: Cieszę się, że są z nami organizacje pozarządowe i eksperci. Dzięki Wam jesteśmy o wiele mądrzejsi. Owocnych obrad na warmińsko-mazurskim #kongresLewicy! https://t.co/MBog3pPIV7",pl,"[{'screen_name': 'wlodekczarzasty', 'name': 'włodzimierzczarzasty 📚📖 #lewica', 'id': '485755268'}]",[],['https://pbs.twimg.com/media/Ei1NwGmXYAIrrKI.jpg'],1,4,16,['kongreslewicy'],[],https://twitter.com/__Lewica/status/1309788798260305921,False,0,1,https://pbs.twimg.com/media/Ei1NwGmXYAIrrKI.jpg,,,,,,,[],,,,,0.0
888,1309788414141706243,1309787667140403200,2020-09-26 09:34:27 UTC,2020-09-26,09:34:27,0,66324459,__lewica,Lewica,,".@wlodekczarzasty:  Jeśli PiS myśli, że ze złagodzonym prawem aborcji kobiety będą robić sobie aborcję dzień i noc, to trzeba mieć kiełbie we łbie!",pl,"[{'screen_name': 'wlodekczarzasty', 'name': 'włodzimierzczarzasty 📚📖 #lewica', 'id': '485755268'}]",[],[],1,5,32,[],[],https://twitter.com/__Lewica/status/1309788414141706243,False,0,0,,,,,,,,[],,,,,0.0
889,1309788304070582273,1309787667140403200,2020-09-26 09:34:01 UTC,2020-09-26,09:34:01,0,66324459,__lewica,Lewica,,.@wlodekczarzasty: Co zrobił PiS w sprawie zmian klimatycznych. A co zrobił PiS w sprawie praw kobiet? Czekamy na wyrok TK. Kobieta ma prawo mieć prawo do aborcji! Kobieta ma rozum!,pl,"[{'screen_name': 'wlodekczarzasty', 'name': 'włodzimierzczarzasty 📚📖 #lewica', 'id': '485755268'}]",[],[],2,2,17,[],[],https://twitter.com/__Lewica/status/1309788304070582273,False,0,0,,,,,,,,[],,,,,1.0
890,1309787980408721409,1309787667140403200,2020-09-26 09:32:43 UTC,2020-09-26,09:32:43,0,66324459,__lewica,Lewica,,".@wlodekczarzasty: Co zrobił PiS, aby zapewnić równe płace kobietom i mężczyznom na tych samych stanowiskach? Co zrobił PiS, aby zapewnić godne życie emerytkom i emerytom? Ostrzegam. Jak ktoś daje ""Jarkowe"", to Jarek może to zabrać, bo będzie miał smutny dzień.",pl,"[{'screen_name': 'wlodekczarzasty', 'name': 'włodzimierzczarzasty 📚📖 #lewica', 'id': '485755268'}]",[],[],1,2,12,[],[],https://twitter.com/__Lewica/status/1309787980408721409,False,0,0,,,,,,,,[],,,,,-1.0
891,1309787667140403200,1309787667140403200,2020-09-26 09:31:29 UTC,2020-09-26,09:31:29,0,66324459,__lewica,Lewica,,"Warmińsko-mazurski #KongresLewicy:

Wicemarszałek @wlodekczarzasty: Czy wolny rynek rozwiązał wszystkie problemy? Jesteś bankowcem. Co robisz w trakcie pandemii? Idziesz do państwa. Jesteś pracownikiem? Szukasz wsparcia w państwie. Kto mówi o silnym państwie? Lewica.",pl,"[{'screen_name': 'wlodekczarzasty', 'name': 'włodzimierzczarzasty 📚📖 #lewica', 'id': '485755268'}]",[],[],3,10,45,['kongreslewicy'],[],https://twitter.com/__Lewica/status/1309787667140403200,False,0,0,,,,,,,,[],,,,,0.0
892,1309786157954338818,1309786157954338818,2020-09-26 09:25:29 UTC,2020-09-26,09:25:29,0,66324459,__lewica,Lewica,,"Warmińsko-mazurski #KongresLewicy:

Senator @WojciechKoniec4: Rząd ""wymyślił"" nowy sposób na pandemię. Wszyscy będą zajmować się pandemią. A co z innymi pacjentami? Kryzys się odbije na Polsce. To nie jest ochrona zdrowia. To nie ma nic wspólnego z likwidacją kolejek! https://t.co/VxL270LpDR",pl,"[{'screen_name': 'wojciechkoniec4', 'name': 'wojciech konieczny', 'id': '1198539369864400896'}]",[],['https://pbs.twimg.com/media/Ei1LDKuXcAAbs52.jpg'],0,7,20,['kongreslewicy'],[],https://twitter.com/__Lewica/status/1309786157954338818,False,0,1,https://pbs.twimg.com/media/Ei1LDKuXcAAbs52.jpg,,,,,,,[],,,,,1.0
